FEAT_TYPE,UFI,Q_INFO,DATASET_ID,DB_DATE_CR,COUNTRY,DISPLAY,DISPLAY_ID,NAME,SCAR_GAZ_I,GEOMETRY_L
Claim,0,793,108,18991230,Argentina,Clipped at coastline,45,Argentine claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,47,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,48,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,49,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,50,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,51,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,52,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Australia,Clipped at coastline,53,Australian claim,0,0.00000000000
Claim,0,793,108,18991230,Chile,Clipped at coastline,54,Chilean claim,0,0.00000000000
Claim,0,793,108,18991230,Chile,Clipped at coastline,55,Chilean claim,0,0.00000000000
Claim,0,793,108,18991230,Chile,Clipped at coastline,56,Chilean claim,0,0.00000000000
Claim,0,793,108,18991230,France,Clipped at coastline,57,French claim,0,0.00000000000
Claim,0,793,108,18991230,France,Clipped at coastline,58,French claim,0,0.00000000000
Claim,0,793,108,18991230,France,Clipped at coastline,59,French claim,0,0.00000000000
Claim,0,793,108,18991230,Norway,Clipped at coastline,61,Norwegian claim,0,0.00000000000
Claim,0,793,108,18991230,Norway,Clipped at coastline,62,Norwegian claim,0,0.00000000000
Claim,0,793,108,18991230,Norway,Clipped at coastline,63,Norwegian claim,0,0.00000000000
Claim,0,793,108,18991230,Norway,Clipped at coastline,64,Norwegian claim,0,0.00000000000
Claim,0,793,108,18991230,New Zealand,Clipped at coastline,68,New Zealand claim,0,0.00000000000
Claim,0,793,108,18991230,New Zealand,Clipped at coastline,69,New Zealand claim,0,0.00000000000
Claim,0,793,108,18991230,New Zealand,Clipped at coastline,71,New Zealand claim,0,0.00000000000
Claim,0,793,108,18991230,United Kingdom,Clipped at coastline,72,British claim,0,0.00000000000
Claim,0,793,108,18991230,United Kingdom,Clipped at coastline,73,British claim,0,0.00000000000
Claim,0,793,108,18991230,United Kingdom,Clipped at coastline,74,British claim,0,0.00000000000
Claim,0,793,108,18991230,Argentina,Clipped at coastline,44,Argentine claim,0,0.00000000000
Claim,0,793,108,18991230,Argentina,Clipped at coastline,44,Argentine claim,0,0.00000000000
Claim,0,793,108,18991230,Argentina,Clipped at coastline,46,Argentine claim,0,0.00000000000
Claim,0,793,108,18991230,Argentina,Clipped at coastline,46,Argentine claim,0,0.00000000000
Claim,0,793,108,18991230,Argentina,Clipped at coastline,46,Argentine claim,0,0.00000000000
Claim,0,793,108,18991230,New Zealand,Clipped at coastline,67,New Zealand claim,0,0.00000000000
Claim,0,793,108,18991230,New Zealand,Clipped at coastline,67,New Zealand claim,0,0.00000000000
