Name,Country,National Antarctic Program,Status,Operation Below 60°S latitude,Period of Operation in Antarctic Treaty Area,Type of Vessel,Polar Class (IACS),Length (m),Beam (m),Gross Tonnage (t),Maximum Crew,Maximum Passenger,On-board facilities for helicopter operations - Yes,On-board facilities for helicopter operations - No,On-board helicopter - Yes,On-board helicopter - No,Photo URL,Photo Credit
Almirante Irizar,Argentina,National Antarctic Directorate,In Service,yes,January;February;March;November;December,,,121,25,14,230,83,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r5/e15/v0/Almirante%20Irizar.jpg,http://www.irizar.mindef.gob.ar/
Bahia Agradable ,Argentina,National Antarctic Directorate,In Service,yes,January;February;March;November;December,,,180,20,2723,58,13,no,no,no,yes,,
Puerto Argentino,Argentina,National Antarctic Directorate,In Service,yes,January;February;March;December,,,81,16,2723,67,,no,no,no,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r66/e15/v0/aviso_puerto_argentino.jpg,https://www.argentina.gob.ar/aviso-ara-puerto-argentino-21
Nuyina ,Australia,Australian Antarctic Division,In Service,yes,January;February;March;April;October;November;December,Cargo ; Research ; Supply,,160.3,25.6,,32,117,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r51/e15/v0/Nuyina.png, Damen/DMS Maritime/Knud E Hansen A/S
Almirante Maximiano,Brazil,Brazilian Antarctic Programme,In Service,yes,January;February;March;November;December,,,93.4,13.4,5450,78,30,yes,no,no,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r6/e15/v0/Aerial%20View%20of%20the%20Antarctic%20Modules%20Emergency%20-%20With%20ice_PROANTAR.JPG,PROANTAR
Ary Rongel,Brazil,Brazilian Antarctic Programme,In Service,yes,January;February;March;November;December,Research,,75.2,13,3700,78,27,yes,no,no,no,,
Sv.Sv. Kiril and Metodi,Bulgaria,Bulgarian Antarctic Institute,In Service,yes,March;December,Research ; Supply ; Survey,,67.48,16.82,2194,27,40,no,yes,no,yes,https://comnap.quickbase.com/up/bmicj3ee9/a/r80/e15/v0/DJI_0598_cr%20sm.jpg,Petko Ginev
Almirante Viel,Chile,Chilean Antarctic Institute,In Service,yes,January;February;March,Research ; Survey,Polar Class 5,110,,,,,yes,no,yes,no,,
Aquiles,Chile,Chilean Antarctic Institute,In Service,yes,March;November,Cargo ; Multi Purpose ; Patrol ; Research ; Supply,,103,17,4760,108,168,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r7/e15/v0/Aquiles.jpg,"Chilean Navy, https://www.armada.cl/armada/unidades-navales/superficie/transporte-de-personal-y-carga/ap-41-aquiles/2014-04-16/101442.html"
Betanzos,Chile,Chilean Antarctic Institute,In Service,yes,February;March,Research ; Survey,,72.05,,1438,,,no,no,no,no,,
Karpuj,Chile,Chilean Antarctic Institute,In Service,yes,January;February;March;December,,,,,,,,no,no,no,no,,
Lenga,Chile,Chilean Antarctic Institute,In Service,yes,,Supply ; Tug,,73.8,,,,,no,no,no,no,,
Lientur,Chile,Chilean Antarctic Institute,In Service,yes,,Supply ; Offshore Tug,,74,,,,,no,no,no,no,,
Marinero Fuentealba,Chile,Chilean Antarctic Institute,In Service,yes,January;February;March,Cargo ; Multi Purpose ; Research ; Supply ; Offshore Patrol Vessel,,80.6,13,1771.6,,,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r26/e15/v0/Marinero%20Fuentealba.jpg,"Chilean Navy, https://www.armada.cl/armada/unidades-navales/superficie/patrulleros-de-zona-maritima/opv-83-marinero-fuentealba/2014-10-29/112345.html"
Xuelong,China,Chinese Arctic and Antarctica Administration,In Service,yes,January;February;March;April;November;December,Multi Purpose,,167,22.6,"15,352",40,80,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r43/e15/v0/Xuelong.jpg,PRIC
Xuelong 2,China,Chinese Arctic and Antarctica Administration,In Service,yes,January;February;March;November;December,Multi Purpose,Polar Class 3,,,,41,49,yes,no,yes,no,,
Yong Sheng,China,Chinese Arctic and Antarctica Administration,In Service,yes,,Cargo,,,,,,,no,no,no,no,,
L'Astrolabe,France,French Polar Institute,In Service,yes,January;February;March;November;December,Polar Logistic Vessel,,72,16,1200,22,42,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r22/e15/v0/Astrolabe.jpg,IPEV
Polarstern,Germany,Alfred Wegener Institute,In Service,yes,January;February;March;April;May;October;November;December,Icebreaker ; Research,,118,25,"11,820",44,55,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r34/e15/v0/Polarstern.jpg,AWI
Vasiliy Golovnin,India,National Centre for Polar and Ocean Research,In Service,yes,January;February;March;April;December,Cargo,,,,"13,514",,,yes,no,yes,no,,
Laura Bassi,Italy,Italian National Antarctic Program,In Service,yes,January;February;December,Research,Polar Class 5,80,,4028,22,50,yes,no,no,no,,
Shirase,Japan,National Institute of Polar Research,In Service,yes,January;February;November;December,Research ; Supply,Polar Class 5,138,28,"12,650",179,80,yes,no,yes,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r38/e15/v0/Shirase.jpg,NIPR
Umitaka-Maru,Japan,National Institute of Polar Research,In Service,yes,,Research,,,,,,,no,no,no,no,,
HMNZS Aotearoa,New Zealand,Antarctica New Zealand,In Service,yes,February,Supply,Polar Class 6,173.2,24.5,"17,990",,,yes,no,no,yes,,
Tangaroa,New Zealand,Antarctica New Zealand,In Service,yes,January;February,Research ; DNV - 1A1 (stern trawler/research vessel) + DYNPOS AUTR,,70,13.8,2291,,,no,yes,no,yes,https://comnap.quickbase.com/up/bmicj3ee9/a/r40/e15/v0/Tangaroa.jpg,Peter Marriott ©Antarctica New Zealand Pictorial Collection
Silver Mary,Norway,Norwegian Polar Institute,In Service,yes,January;December,Cargo,,113,22.7,"10,308",,,no,yes,no,yes,https://comnap.quickbase.com/up/bmicj3ee9/a/r86/e15/v0/Silver-Mary4.jpg,silversea.no
Carrasco,Peru,Antarctic Affairs Division,In Service,yes,January;February;December,Cargo ; Research,Polar Class 7,95.3,18,,50,60,no,no,no,no,https://comnap.quickbase.com/up/bmicj3ee9/a/r54/e15/v0/Carrasco.jpg,
