"PLACE_NAME_MAPPING","PLACE_NAME_GAZETTEER","ALTITUDE","COMMENTS","COUNTRY_NAME","FEATURE_TYPE_NAME","GAZ_ID","GAZETTEER","LATITUDE","LONGITUDE","NAMED_FOR","NARRATIVE","SCAR_COMMON_ID","SCAR_MAP_CAT_ID","SOURCE_COUNTRY_CODE","SOURCE_IDENTIFIER","SOURCE_NAME","SOURCE_PUBLISHER","SOURCE_SCALE","RELIC_FLAG","AUS_DISPLAY_SCALE_20M","AUS_DISPLAY_SCALE_10M","AUS_DISPLAY_SCALE_5M","AUS_DISPLAY_SCALE_2M","AUS_DISPLAY_SCALE_1M","AUS_DISPLAY_SCALE_500K","AUS_DISPLAY_SCALE_250K","AUS_DISPLAY_SCALE_100K","AUS_DISPLAY_SCALE_50K","AUS_DISPLAY_SCALE_25K","AUS_DISPLAY_SCALE_10K","AUS_DISPLAY_SCALE_5K","AUS_DISPLAY_SCALE_1K"
"AAE Glacier","AAE Glacier",,,"Australia","Glacier",137061,"AUS",-67.5888888889,145.616944444,,"Named after the Australasian Antarctic Expedition (AAE) led by Dr Douglas (later Sir Douglas) Mawson in 1912-14, of which the name is an acronym of the expedition title. The expedition was the first to be conducted on the Antarctic Continent purely for the furthering of scientific knowledge and was also the first mounted by personnel from Australia and New Zealand. The expedition was described by the British author J. Gordon Hayes in 1928 as being the  ""... greatest and most consummate expedition that ever sailed for Antarctica"" and by the leader of Scottish National Expedition to Graham Land in 1902-04 (William Spiers Bruce) as ""... the most successful of any recent Antarctic Expedition"".",18717,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",30000,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Aagaard Islands","Aagaard Islands",,,"Australia","Island",948,"AUS",-65.85625,53.5840555556,,"A group of ten or more small islands, 1-3 km west of Proclamation Island, Enderby Land.  Discovered on 13 January, 1930, by BANZARE (1929-31) under Sir Douglas Mawson, who named them after Bjarne Aagaard, Norwegian Antarctic historian.",2,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",50000,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Abatus Bay","Abatus Bay",0,,"Australia","Bay",138186,"AUS",-68.563056945801,77.974166870117,"Named in recognition of the importance and dominance of the Abatus group of invertebrate species in soft sediment benthic communities around Davis. Five species of Abatus occur in high abundance around the coastline of Davis station, East Antarctica (A. cavernosus, A. ingens, A. nimrodi, A. philippii and A. shackletoni), at population densities of around 30 individuals per square metre in areas of suitable habitat.","This bay, immediately to the north of Davis station, supports large populations of all five Abatus species, and is typical of the sort of soft substrate habitat that occurs throughout the Prydz Bay/Davis region.",19806,0,,,"Vestfold Hills 50K GIS Topographic Dataset",,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Abbotsmith Glacier","Abbotsmith Glacier",450,,"Australia","Glacier",609,"AUS",-53.1,73.4166944444,"Named after John Abbottsmith, diesel mechanic with the 1948 ANARE Heard Island Expedition. Note the spelling difference between the surname and feature name. Unfortunately John's surname was spelt incorrectly on the voyage list, and it was this spelling that was adopted by the names committee in 1948 when the feature was named.","A glacier on the west coast of Heard Island between Walsh Bluff and Henderson Bluff.",,,,,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Abraxas Lake","Abraxas Lake",12.8,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1221,"AUS",-68.4889999212,78.2869999983,"Abraxas is a Greek work of magical significance.  This lake is like no other in the Vestfold Hills.","The lake, in the Vestfold Hills, with a maximum depth of 19 m, is a sparkling blue color.  It contains at least 3 species of small crustacea and some unusual algae.",22,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Abrupt Island","Abrupt Island",,,"Australia","Island",947,"AUS",-66.9918888889,57.8456944444,,"A small island about 1 km across, just east of the Øygarden Group.",23,,,,,,,0,"No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No"
"Abrupt Point","Abrupt Point",,,"Australia","Point",2188,"AUS",-66.9023,56.7099,"Plotted by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37) and called Brattodden (The Abrupt Point).","A rocky point on the western side of Edward VIII Gulf in Kemp Land.  The feature was first visited by an ANARE sledging party led by Robert Dovers in 1954.",24,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Access Slope","Access Slope",,,"Australia","Slope",2478,"AUS",-79.6833333333,156.05,,"A narrow ice slope bordered by the Darwin Mountains on the southern side and by an exposed ice buttress on the northern side.  This ice slope forms part of the Circle Icefall in the Darwin Glacier and appears to be the only route through the icefall.  This descriptive name was given by the Darwin Glacier Party of the TAE (1956-58), who made the first descent of the Darwin Glacier.",31,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ace Lake","Ace Lake",8.8,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1156,"AUS",-68.4718055556,78.1878055556,,"A lake on Long Peninsula, Vestfold Hills. This saline lake was investigated by biologists from Davis in 1974 who had spent nine months searching for a saline lake containing copepods and finding them in this lake, considered it a winner, an 'ace'.",32,,,,"Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Achernar Island","Achernar Island",,,"Australia","Island",849,"AUS",-66.96,57.2452,,"An island about 2 km long, in the west of the Øygarden Group.  Mapped by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37) and called Utx (Outer Island).",35,,,,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Adams Bluff","Adams Bluff",,,"Australia","Bluff",171,"AUS",-82.15,159.9167,,"A bluff in the Holyoake Range, at the head of the Errant Glacier, 15 km south-east of Mount Hunt;  Plotted by the U.S. Geological Survey from air photographs taken by the US Navy in 1960-62.  Named by USACAN after P.L. Adams, meteorologist at Byrd Station in 1961-62 and 1962-63 and McMurdo Station in 1963-64 and 1964-65. ",52,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Adams Fjord","Adams Fjord",,,"Australia","Fjord",426,"AUS",-66.8108333333,50.6919444444,,"A fjord, 11 km long which extends eastwards from the north-east part of Amundsen Bay, just south of Mount Riiser-Larsen.  Photographed and mapped from ANARE aircraft during 1956.  An ANARE party led by Phillip Law entered the Fjord by launch from the Thala Dan on 14 February, 1958 landing at the foot of Mt. Riiser-Larsen.  Named after Ian L. Adams, Officer-in-Charge at Mawson in 1958.",53,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
